pretty_comp,eps_average_sq
Ba2FeGe,13.70604975913921
Li3FeSiBO7,5.553446377400854
Ba(CdAs)2,4.502021768050438
Zr2BeP,8.644713220614475
Ge2N2O,2.161295907551763
Ca2N,2.426767397176746
TiBe2Hg,9.937209534539027
CeS,9.206698648266924
CrB4,8.126149149504949
Mn2Au,12.76852118819299
LiCaBe,8.681199993856456
LiTiRh2,9.044711161778467
CaLaBe2,10.056316423024883
NaTiS2,4.780634546445343
KC4N3,1.7606248890663792
NbVF6,8.844267446581807
GaNi2,10.14662998241288
Mg(GaO2)2,1.9696361762180008
CaCd3O4,2.3997569321356966
Al(FeO2)2,6.905997393570316
Hg3As8(S4Br3)2,2.664150896627292
Li3Mn3SiO8,8.235040983504575
NaTiBe2,9.021406024931297
TiZnN2,2.8880270081839607
Cr3N2,12.812290973904705
Sr5Si3,4.962479219100066
Sc2BeRu,9.163023518468128
AsCl3O,2.01960392156482
Mg2CoO4,9.213050526291495
Zn3Pt,8.354421982798492
YbPmAu2,10.389499506713497
SrCaI4,2.048226875454312
LiCaGaF6,1.479572010188532
RbLiSe,2.114434518573071
MgSi2SnO6,1.869349262889808
ScCoTe,4.326349500444919
Rb(WCl3)3,3.4107574916236225
BaSb3,5.5922356888815035
BaV2P,14.464731821456859
TiNi2Sb,7.080127117502905
Cu3Sn,14.55401662772171
NaPrTe2,2.9170018854981907
Y2Cr2C3,9.133405717474725
Sc2BeBr,8.522925945159132
Be2ZnTe,8.632149210943934
Yb2AgPd,4.837633719082088
LiTaBe,8.318994330246094
CuTcBi,11.683163099092646
HoCdPt2,11.162625139276157
GaHO2,1.998807978104284
RbGe,7.234611254241654
TaBeGe2,9.910987169130363
NaMn7O2,15.732264087960555
Bi2SO2,3.3187999839299347
GaAgS2,2.7928599439761865
Ca2TaBiO6,2.3886607126170096
Co2Ge,11.655114757049795
LiCaTa2O6F,2.1438205770695147
TlIO4,2.2958077736024265
Sr2SO,2.151309678622149
LiCuCO3,1.9672400294151533
BeSnPb2,12.355278224305591
PdCl2,2.967299557959504
Li2ScFe(Si2O)2,2.3650510917666594
PdAuO2,6.588226873243919
ErSb,14.915877446533274
Mg4BeRu,11.534019247426286
TlCoBi,13.078803462090864
TlGaTe2,3.852341279447258
MoCl3,3.8629738112840815
TeO2,3.3953939388530463
Ba3In2Cl2O5,2.082762588486744
Sm2C3,9.134276107059607
Ta2I5,3.8589635914322895
Rb2Sb4O,1.9206422536918912
Li5TaO5,1.9774478501341064
Rb2MgCl4,1.6923750569342877
BeNbIn,12.640021097028804
YBeFe,11.360887582696463
KFeBr3,3.512809891430696
CuSb2H2(O3F4)2,1.6823990806781448
USe,11.439235114289765
HgRhF6,4.531522922815243
Li3UO4,2.5651835541860684
Er2InAg,10.103741881105238
LiMn2O4,11.237925372001126
BeTlSb2,13.095403773843708
ZrAlPt2,12.766005639979957
LiV(PO3)3,2.638370709358334
KTmI3,3.623018998938132
CrO3,8.795337780134806
HfSnPt,11.682230095319984
BaMgHg,8.231427579709369
Mn2Sb,15.353709649462571
AlTl(MoO4)2,2.0941346661568843
Tc3N,8.454237596219622
BeGaPd,9.206170032465543
Tl2Sn2S5,2.9968872740450774
Hf3Pb,12.048863016899144
TaBeSi,10.105551279701007
UFe5Si3,10.568842573022524
Y2Te5O3,2.250088887133128
ScNiSb,4.3942689949524025
Sb2Pd,10.136384957172847
P3Ir,3.8357137536578514
Nb3Cr,12.382919688021884
NdMgGa,8.45999408983245
BeSb2Br,6.453205921607234
TcO3F,2.4357955579235298
MgFeF6,4.421896274978266
Mg(BiO2)2,2.8987756035954217
BeVCo2,9.5928045951119
YbInPd,12.517843264716172
Ba2YNi3O7,8.30212422616445
NdTaO4,2.2839074703965863
Ba4CaMo,13.649897435512106
Ba4HfTl,14.278529336034575
ZrInCu2,5.0862690976130365
Yb(AlSi)2,5.29544773051974
DySn2,11.116558220360591
Ba3BAsO3,2.425647679830413
YbInAu2,13.300939816418989
CrCu2Si,12.982734688808826
K2AlF5,1.3857849761056007
Ba4CaRh,13.245293503731807
BeGeIr,8.416135296757847
Ba4MoCl,11.232350599941228
TcH4NO4,2.06097873189738
YSeCl,2.960844474132338
Be2CdSe,6.3137020307687415
InCuPd2,8.189847373425224
Ge3Cl8,1.9724857413933312
LiAg3,10.417376509147267
Sm(CoB)2,7.2692548907482015
Al2Tc,11.20410192741926
Nd(NiAs)2,8.744697440925748
Co4(B2O)3,7.814885369174223
SmCdAg2,16.91770078940989
Sc2AgOs,7.765365413166338
ZrBe2Cd,8.468596892834924
LuSeO3F,1.8551819317791989
K2NiF4,4.240239773094599
ZnAu,5.822765665901384
BaCrO3,9.171266724577
Dy(SiOs)2,8.676556536629803
NiPb2(N3O)2,6.998449828354848
Sm3I,14.064814254017007
LuCuPb,6.1946132513122505
NpCdPt2,15.648236322346365
NaTaBe,8.383791902633716
AgSb2F2,1.860188162525501
Te4Mo2WSe2,3.4667227559565053
Sr2CoO4,5.295828547073631
LiCaAlN2,2.295125268912353
YSeO3F,1.9896900931217067
Be2FeIr,16.82173494817543
TbCd,8.170091798749876
Ga3Pt2,9.050563518367241
Li8VO5F,3.630041322078855
TaGeAs,12.569622110469348
BaSiO3,2.1663333076883617
HfBeSb,11.747113120535898
Zn2Ni3O8,3.838680328793565
Ba4YCu,12.676253389704705
Sn(Mo3S4)2,8.043456968244437
ErAu,7.843290125961173
BiIO,2.8655540476494243
TbP,5.454056594254714
ZrCl4,2.0590774633315765
Y2BeSe,7.989238595343948
MnAsRh,13.594551604717724
Ag5P(S2Cl)2,2.6057628441590768
ThBiTe,9.038814450284212
SmMgTl,8.604756436607216
SrBePb4,14.023287774270338
ThS,9.382018261902216
ErCu5,17.816332394743878
Dy5Ge3B,11.310302088509099
CaBeCr2,10.14018901861959
Ho5Co2Bi,12.037179902286079
SmBi2ClO4,2.4107882528335
YAs3,12.593772270451774
NiMoP8,8.409835511669257
PrS3,8.431777195032296
ZrBe2Pb,10.237875756229904
