pretty_comp,meps_average_sq
Er2ZnTc,8.895830483996422
NiAg3,11.280085697073991
LiBeV2,16.85712114607157
Tb4Se3N2,2.4636828800260258
Ho(FeB)2,11.47287670987534
Y2TeO2,2.521355455570145
SiNi,7.161417457459103
Pr(SiOs)2,9.446182650503149
Al6C3N2,3.5477175761325763
Zn2NiN2,6.107937458749888
HfGePt,10.394642851007434
TiGa2,10.582532778120743
LiGa2Pd,8.31188305981262
BeV2Pt,16.390167784376096
Zr3Cu,19.08655809725787
ScBeFe4,18.716607598600767
RbMgF3,1.3708391590555036
BaZr4Ti,23.523153841835647
Dy5AgS8,2.7773908619421936
NaTbSe2,2.1991361940543843
Sc2BeCl,14.129662652259846
VFeSb,5.973918312129822
NaPPdS4,2.4860946616463884
NaBi2AuO5,2.2880923641030457
NaTiS2,3.5439949209895887
BeCoNi2,18.62352455005945
Er(CoB)2,7.13772606180241
PrCoSi,10.298982150355117
AgPF6,1.2449364106919951
Mg3H4O5,1.487895605656974
HfC,6.836063682168756
SiP2,4.255760801548884
SmMg2,12.748947668990828
ZnSiP2,2.928583275237364
Sm3InN,4.64896762733405
AsRu,10.299082483405986
NaDyO2,1.728101077290716
GaTeCl,2.3145553928706626
TbAgTe2,3.0473649819693955
PrLuSe3,2.7235883193561645
Zn(CN)2,1.4289390003308984
Eu2O3,1.960527139997472
PuAl3,13.683638648644106
Ti3Ir,19.058633214372954
TiAlPt,12.691296230094073
BeZnPd,10.986191332759502
Ba2CdBr,35.94705133943534
SmInRh2,18.272435524581827
BaBiBr,13.09347674734764
U2Ga2O5,16.03486929579825
GaSi(MoS2)4,6.323743616983008
Ni2HgAs,8.81048239314965
NaFeO2,7.269335136952576
TaGaPt,16.816840765534213
RbCaO3,10.032409149019657
SrClF,1.6258126173291518
Rb2AuI,1.168146680287483
Ti2ZnTc,11.430682394327992
Eu(PRh)2,9.564136134539284
Sr(CdGa)2,7.368891820800918
Pr2AgRu,11.498882554405014
Sm2Re2Si2C,9.707924597976644
Ba4HfSe,10.724537286055748
MnZn,13.945264429188855
IrPbBr,10.899001483316413
Ce(WO4)2,2.459125860951408
InSb2S4Cl,2.8585602436657984
KFe(SO4)2,4.126277579934082
Sr2BeBi,5.779178142262098
TiZn3,13.736189427930874
KMgF3,1.3318658591114447
BeV2Cr,13.991242499030125
Be2CrBi,9.23421716588183
NiCl,7.734845398153302
SbAsO4,1.8236136286688216
AlVPt,9.648407467901981
Ba2CaGe,6.287704933704614
LiPN2,2.264324770580993
KNdS2,2.151875151273109
Zr7(NO2)4,2.407910574197749
Rb2SnCl6,1.6889740475606287
Sm2CdIr,8.543055659423036
NaTmO2,1.7056572535731398
U3Se4,18.48374601282616
Y(AgCl2)3,1.7876614146233991
W3O,22.14579719344809
BaAg2(HgO2)2,2.1961405540933243
CaMnSi,8.140657221625291
Ba4ZrPb,14.073872956652696
Ba4GaFe,15.560357750814513
ThGeO4,1.8268643445350103
Hg(BiS2)2,2.9815488145145865
TcNiW,9.207697866459348
Y3Mg,11.214353897275283
NaLiTe,2.189817343981
Mg3BH2O5F,1.4630675536921276
YbH3Pd,3.877911809208662
KB,6.222665559602786
HfBeP,11.026702438474826
RbIO4,1.6685522666871022
BaCO3,1.5289865924853625
BaSrPb,4.670645922496517
SmH2,2.583350537577121
Ba3Ga2(GeO)4,1.5727576630449671
Y(CuSi)2,6.303065391802098
Si3Ag,13.965073099223886
MgRh3,15.42955929377116
BeV2Tc,13.72848377158478
TcO3F,2.243055951152356
NaCaBe,6.533988062431704
SrGe(HO2)2,1.6043170925142365
KLiCO3,1.7510092327949998
BaCo2Sb,14.88343150396888
Ta2Zn3O8,1.89843795438952
ZrBe2Nb,10.966416917115636
K2O2,1.4785916722791768
NiSe,17.63650381075191
VS2,7.449977628601759
LaF3,1.7001470524634037
Mn2SnS4,22.24865464097398
Li8Ni(O2F)2,1.8398097727754361
MnBe2V,11.088839734916663
Rb3InS3,1.9008682226814144
Be2NbRu,9.899134642314278
UF5,3.0710910113508523
NaInH8(NF3)2,1.341864374666829
Ba4HfBr,13.820397968220739
BeGaIr2,7.5022041205679475
LiScS2,2.9649732994862985
OsC,7.4016687307660565
VInPt,12.076060339917705
Pr2In,12.051767505225115
BeTe2Pd,9.427479337907172
BeRhCl2,5.405148779944297
LiH2N,1.8732591918899
BaSn,5.087618958478187
TbMg,7.2072301660670375
RbCl,1.4794706260461319
HfCo3B2,11.826477356620893
CuBiSCl2,2.9957358584049647
Tb(HO)3,1.6803769418397367
PmZn2Cd,4.852535419757387
LiVPHO5,6.9874625818914655
P4S5,2.4087479458562417
MnF2,9.817497984041896
Ba2HoRuO6,9.353724748284325
Li3SmBi2,4.304706726363597
K2NaBP2,2.0566477578817435
ErSbPt,5.760477410770742
Na4BeTc,12.275679207278106
SmDyRh2,23.095146676304086
NaAlPO4F,1.452767473938391
BaYSc2,14.02774869083893
GeO2,2.3792715972190592
NiS2,8.35940588000527
RbTbSe2,2.1429030153820148
Hg3As8(S4Br3)2,2.354548789046428
Rb2AuBr,1.1494201436666518
ZnPt,6.7266831846510104
VP,9.51735782662394
RbNaTiO3,1.8517829246431667
NaMnP,7.444105050306585
Ti2InNi,14.725230049136753
Li4BePd,11.351261310239199
CaTiF6,1.5180909063689172
CaY2O4,1.81964282209449
As4S5,2.5454141771690777
KNaNdNbO5,1.8422631010073809
Zr2SN2,2.9257306779674717
BeCrP,6.112915289232571
NaLi2Bi,3.1914730141425287
NaErO2,1.6966339224083276
BaCaIn,9.44145292491221
Nb3Sb2Te5,4.825325550329913
TiBe2,10.454571567819826
ScBeTc2,9.267103107228278
Sm3Sc,8.90108982091519
Ca3(AlAs2)2,3.0228683949741075
Rb3Ac,9.255657729194613
TiIN,4.320173607622731
BeTeIr4,17.164259378138052
Rb2PtS2,2.254380920193688
